0,Another crying Markiplier video
1,Thank GOD he said he won't do this anymore! I was getting worried!
2,Alexa sucks.
3,You reek of failed comedy career.
4,Alexa volume 4 🤣🤣🤣🤣🤣
5,Held it together beautifully! nicely excecuted sir! haha
6,"Ghost peppers two days in a row, you will be impervious to all things spicy. Next step is the Peruvian puff pepper."
7,Use a different torture method if you really want to do this
8,I ate one of those before. My arsehole was like Back To The Future
9,mark whyyy but your still awesome
10,"You should try to eat Cucumbers, trust me it’s better than milk."
11,I like how the second he puts it in his mouth he starts praying 🙏🏻
12,:D
13,...
14,Mark Jack just ate ghost pepper and do a thoung twister :^O
15,You are as brave as chica
16,Ya mom gay😂. But good luck mark
17,Do you like JAZZ?!
18,"The music though. Oh, the irony."
19,Yeeees lol 😂 The lining of your stomach 😘
20,Noooooo you do it again and i dont wanna see it again
21,He is so cringe now.
22,When this video is #17 on Trending XD
23,Did you poop lava?
24,"The ghost pepper going in your body is very painful, but when it exits your butt hole, that's another painful experience, it feels like 10,000 red fire ants nibbling at your anus! Believe me, MILK doesn't help at all. DRINK NINJA FRUIT and APPLE CIDER VINEGAR. TO EASY THE HOTNESS!"
25,Boop!
26,You know. You uploading these videos does kinda count as you uploading a video daily
27,Mother simulated please
28,He's training for the chunin exams.
29,STOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOPPPPPP!!!!!!!!
30,*Alexa volume 4..... ALEXA volume 4......* 🤣🤣🤣🤣
31,What go's in must come out... Umm So Hows your pooper doing?
32,"Mmm...I call bullshit. No sweating, and no tearing. EVERY other video that shows people eating these peppers have at least sweating and tearing. This guy acted like he couldn’t talk and he drooled."
33,rip markaplyer!
34,stop stop stop
35,noooooooooo!
36,"Jazz is cool. 
👍👍🏻👍🏼👍🏽👍🏾👍🏿"
37,"Instead of eating ghost peppers u should try takis 
Just sayin lol"
38,Lock the milk.
39,I love jazz to mark experiencing extreme pain.
40,"If you keep eating it your body won't react to it as much as it does. Like Poulsen , if you give it to yourself in small amounts your body won't think that it's poisen"
41,the best content on earth
42,The music is too perfect .
43,you promised to finish samuel  manuel!!!!!!
44,I think he’s dead 😂
45,a ghost pepper is actually not that bad. although if u try a carolina reaper then u will probably die
46,Awesome
47,THE BLUES MUSIC AND MARK TWICHING IS JUST  DELIFULL
48,🙈
49,Fucking Alexa!
50,Coodooz... & get better.
51,I’m an introvert to! I need to go out more but I always end up sitting at home watching anime.
52,"I love youuu markkk no matter how little you upload, you will not loose this group of subscribers because you not only have 20M subs (so proud of you) you have 20M people who love you no matter what happens, pls dont torture yourself anymore. We are not going anywhere! So much love mark"
53,"The ghost pepper is weak, eat the Carolina reaper is the hottest pepper."
54,"Really bad acting, he didn’t really eat a ghost pepper 🙄🙄"
55,“ALXXZA VOLIME 4! ALEXXZA VOLUME 5 FRICK”
56,"So people actaully say this will kill him? how dumb are some people? It is just hot as hell it will not kill him, in LARGE amounts of capsaicin it will kill you or harm you but in that tiny amount mark eating nothing will happen.
Can people go get some facts before even talk?"
57,lol as mark spoke to alexa he set mine of to the jazz station thanks mark lol
58,They should feed these to prisoners to rehabilitate them back into society
59,Idgaf about promises STOP
60,Please just stop doing this
61,The irony of his shirt is not lost on me! 🤣🤣🤣🤣🤣 I’m praying for his stomach and his booty! 😳😳😳
62,"Damnit, Alexa"
63,"wtf did he eat !?!

EDIT: nvm i know he eated ... i did it when i was 10..."
64,"Perfect!! Smooth jazz while eating a ghost pepper.....oh, the irony! xD"
65,Go on hot ones already please
66,you did this again Please stop
67,Mark next time you want badass music have alexa play two steps from hell - protectors of earth
68,"Hey Mark, how's your b-hole feel today? Also I appreciate your dedication as well as everything you do, but I feel I speak for alot of your viewers when I say, this is totally unnecessary...you said yourself a large number of people asked you not to, I'm just a nobody that doesn't know anything, but you should listen to your fans maybe? Unless you enjoy the flaming sensation in which case that is none of my business 😊"
